	ENST00000374761	ENST00000319928	ENST00000370812	ENST00000481579	ENST00000579153	ENST00000367041	ENST00000480676	ENST00000328257	ENST00000393051	ENST00000504148	ENST00000457474	ENST00000315580	ENST00000347691	ENST00000555304	ENST00000330836	ENST00000553286	ENST00000566326	ENST00000311008	ENST00000348335	ENST00000379774	ENST00000579004	ENST00000269221	ENST00000463087	ENST00000589699	ENST00000493059	ENST00000597279	ENST00000264716	ENST00000422803	ENST00000398107	ENST00000356421	ENST00000263895	ENST00000374114	ENST00000262605	ENST00000525817	ENST00000493076	ENST00000406644	ENST00000488442	ENST00000433992	ENST00000337959	ENST00000330884	ENST00000458646	ENST00000429888	ENST00000264634	ENST00000325599	ENST00000478867	ENST00000490337	ENST00000326448	ENST00000515749	ENST00000394854	ENST00000274459	ENST00000355472	ENST00000465796	ENST00000456573	ENST00000459703	ENST00000339898	ENST00000249364	ENST00000448878	ENST00000519857	ENST00000428870	ENST00000380062	ENST00000379858	ENST00000358077	ENST00000380550	ENST00000376441	ENST00000360134	ENST00000374571	ENST00000371113
rs4648845	-0.02067724627776104	-0.013034992082969725	0.022593325993326707	0.11156225909642688	0.0806370354084221	0.00043084328092219537	-0.016375479845890044	-0.004555698939087532	0.004757593212727678	0.05019381679213958	0.02453540432733552	0.19073973243811762	0.0034669764902339234	0.003453064758812449	0.02110421173563135	-0.03819442225571572	0.12732934588617648	-0.011820040799741608	0.1345963929012571	-0.15062062292843495	0.064344468104083	-0.00805318442824893	0.058665122278450305	0.1345484703524065	-0.12813859842524267	0.041151840325287195	-0.09880423249720184	0.012690621563614593	0.02328563194280527	-0.018971886162113597	-0.00060502102296191	0.012044710025221745	0.08432095909821874	0.12981812972685325	-0.020769770128747887	-0.025216873582506086	-0.24528042523632151	-0.2386365037900515	0.1684699677532318	0.09528869038324031	0.044312527180188056	-0.039961324013863216	0.10798308349518662	-0.14516908813602694	-0.021679057824143467	0.010430911676336812	-0.14228242063446359	-0.02471180866308179	0.0800045852454714	-0.03833945285515015	-0.004681894588466821	-0.04753521448350112	0.0422218056787591	0.022460821732104105	-0.08240253176536508	-0.07032226417740126	0.01577217319008805	-0.01306830174092828	0.1836206778511919	-0.024456343728594634	0.05022251569242762	0.14528514722744082	-0.010313779557570398	-0.14930984467133437	0.06938104995066217	0.1508853931557588	-0.04697452511708271
rs11586952	-0.13082461023941627	-0.28437059932565767	-0.20125482394794764	-0.07709760557470927	-0.10885014672485169	-0.2074677442523838	-0.3025050041876181	-0.26384253370715527	-0.025147197184483074	-0.047199349671691614	-0.34153197869170615	-0.05956060064883845	-0.3097804296901973	0.11404291309957328	-0.31582157424971613	-0.09765876692460643	-0.2451740015428968	0.21179488107702135	-0.12253890096662098	-0.2189901066600841	-0.16965582625662587	-0.3009346771803632	0.07416013487619491	-0.02424282798989175	0.03074307386407605	-0.29442226222225665	0.1362020337492643	-0.17761547855967746	-0.28695303038200876	-0.2819268413194642	-0.10160815783143101	-0.2400129303021296	-0.26859265995326825	-0.4086411338779623	-0.03313456710219955	-0.2552267163421494	-0.06449786310065128	-0.07083638183522262	-0.2065063717352419	-0.13384567728704688	0.1162147709183417	0.00724222043528951	-0.181121963361541	-0.13553627100222143	0.1602175285481953	-0.30568991608245466	0.11167220600275227	0.2582599274197513	-0.26821625861236303	-0.009216790186449275	-0.3181569162693354	-0.03828441267971632	0.03166748292531973	0.09301006327615256	0.10195012473394409	-0.28323801039515545	-0.19253841834226484	-0.0459715538215066	-0.24898188887169892	-0.18588494697420405	-0.24677176842323365	0.010728386292713723	-0.21011340130927347	-0.16405512017747176	-0.2698324605644034	-0.3278925828325507	-0.2334467451379733
rs6694545	0.03224740690532324	-0.17093753138835044	-0.009406417204014566	0.1140588568215966	0.010873000493144415	-0.07817757233568075	-0.06394689150870164	-0.11050950976390642	0.06210932510897339	-0.012905135629220594	-0.0675352591041769	0.05281582775607918	-0.16338397332082383	-0.05146975968346611	-0.08394422445639026	-0.07370414248673751	-0.14547869340660305	0.005450542455244593	-0.09749397258723128	-0.22287900666820884	-0.05006946721427021	-0.10461488936463087	0.12742920536510588	0.07552055923419264	0.04913179650179204	-0.0881642441659707	0.00974523658891	-0.12335820921914523	-0.14354465483016748	-0.1108978006885363	0.12520056284419676	-0.004117703294621754	-0.15721090581366212	-0.1871110094612989	-0.06465114424679004	-0.08966188477175224	-0.08265736697157783	-0.026668293604520447	-0.1386653310729169	-0.15065475344669618	0.15783854071354542	0.15293534582833226	-0.013010620253100432	-0.044948011166107325	0.012676354041423445	-0.054067252329934035	0.16808145041382877	0.041271576410311706	-0.16374628216123013	-0.003907940968879221	-0.1603947857820479	0.00316472993912829	0.0858475339746864	0.1756115657506754	0.11208521701521312	-0.04901219997428079	-0.20157558268955333	-0.05752584343477337	-0.09583208485981609	-0.036870964170410546	-0.13819034568212593	0.13405351298438406	-0.14110254394060195	-0.05793168034852748	-0.1002264276359734	-0.11557935957686924	-0.1663115158168825
rs2970610	0.06815517330040288	0.04843435083916686	0.22349709387590916	0.054992451582103585	0.10696381820920746	0.15183452953395496	0.1906405510969973	0.13161578924701517	-0.008926420585648577	-0.0965795689060737	0.19858147820452712	0.00155110411269444	0.15883748499518305	-0.02110527352555161	0.18591341488027294	0.053484284402937524	0.04405315313665116	-0.05531119212909275	-0.11390007179410137	0.08243402855888758	-0.08736264605086835	0.1647067158343062	0.07225726800190407	0.15075682630093692	0.06582152218916434	0.11726658081972131	-0.06132547368221081	0.03224630688809652	0.08667558020141022	0.09965089524750473	0.027590279910288076	0.20945986592147664	0.0798019973342511	0.06089045378250573	-0.16566398854125136	0.15647715496192513	0.030833877259189308	0.03441162939853767	-0.034559484602882884	-0.08588744220502635	0.030486993073991702	-0.020719910704688996	0.04009680745463712	0.07485007157519079	-0.15286313081794659	0.19294103795259646	0.07009119325294558	-0.03849449224881007	0.0746400540006263	-0.04952445484419767	0.15652328590782513	-0.04807303444894998	0.04073470965719271	0.09138379456859495	-0.1388944496729544	0.1560562614525965	0.042716933388392796	0.09968263940412256	0.13828812875664986	0.03505377061953675	0.1411694450518811	-0.055123859890233884	0.05861267987704502	0.19317691490738648	0.011810656996833755	0.04193777016600898	0.09776907591879362
rs12129719	0.013791449529181722	-0.02015773341268349	0.05021383876170263	-0.12455693524444142	0.17900986551078454	0.0567528712120261	0.08737078818415214	-0.050191681256723505	0.001498361793389115	-0.12267800761037427	0.00986933784802887	-0.011339885924173823	0.012991239502063557	-0.013340066622294597	0.010505269911018689	-0.05907121469083946	0.029773452113412712	-0.043795547871356304	-0.05134740508473396	0.00479291267463259	-0.16228703210075496	0.014932689128453228	-0.0451128925083086	-0.1790517183326454	0.12277738173887302	0.05988875084280852	0.07622156903976621	-0.08381151527496956	-0.006153591030843426	-0.020579677060727757	0.13130577060378823	-0.04996453557659611	0.07605286941369599	0.003854468692610292	-0.07410245818960683	0.017232721559613466	0.04625331913029715	0.010225681409853093	-0.054177486026137193	-0.10699491682600126	-0.10523378186224616	-0.07490540467228686	-0.04357044276824578	0.06300042445189734	-0.02969195439972377	-0.009645876027288263	-0.010037377172697814	-0.027148089747055702	-0.007316098190192297	-0.11183501005644836	0.01040778454459106	-0.08936854216505702	0.057564599161842006	-0.13214484111803182	-0.06292318882073522	-0.00029274306775886453	-0.06535004923086221	-0.20196916679421079	0.10459550183390538	-0.05642703714791701	0.19712300376976805	-0.15934432115700992	-0.11543704727355104	0.03518594156767814	0.0027203315539454545	-0.03655539545326519	-0.026210649772347064
rs12129573	0.24351373433415954	0.07293262175606477	0.16942942433814237	0.11448363143892133	0.009035630454515223	0.05869558151693247	0.1567861242028073	0.1522365817303782	0.00021817844020058385	0.09625615609660447	0.10429712758202621	-0.07790240487464306	0.10219208055266021	-0.05467533529966446	0.11023509331481102	-0.05411524770747545	0.0203870815463217	-0.11812054593149905	-0.08541298166844755	0.14065794804398793	0.06767912072714753	0.12710513768788173	0.14841956384773627	0.05330486362384711	-0.05784276729552537	0.2984486551342176	0.09694899646391564	0.04045109656704313	0.12358788435593394	0.1284365329087761	0.11844039590900293	0.12281852486185994	0.025106400287113348	-0.04375833393506849	0.13391142859695024	0.08275056956637945	0.16209609973371716	0.034476975515821864	-0.12201563763244065	-0.03564856095051662	0.03901636601173078	0.10162302426192749	0.0747015288370293	0.12688498105788776	-0.19597020045212346	0.19747611511241459	0.12626771614367027	-0.0767700039481936	0.051202311621567895	0.07198359389185631	0.18988633148315162	0.015626670826354674	0.01627100910390272	0.009056642698910726	-0.015370737949693418	0.17924895154823228	-0.02063116901302827	-0.09041526582477566	0.1863321724902557	0.11410845388909982	0.08600137711732561	0.012716025474080747	0.10447245604599911	0.19217307636759678	0.058957007953674444	0.09781230534438767	0.0864607819311516
rs17517490	-0.2086418179538312	-0.5008072182427151	-0.48281674868537816	-0.19057887535808524	0.025927361005821388	-0.49725135140382787	-0.42040092319151584	-0.4946307525328266	-0.14767117956554354	-0.010805202008654783	-0.506835825853826	0.036820892257042485	-0.43677746003437	0.1188521647481632	-0.4888022445416005	-0.13184840605945997	-0.25990581434308374	0.48685494564139753	-0.14030145122432264	-0.4738754772423642	-0.27232588445127626	-0.3737108340770714	-0.020228714177387638	-0.013263552067012978	0.0772575971297817	-0.5348059492801449	0.05238955723050769	-0.23102942831681933	-0.3609669915357818	-0.5644286825575028	-0.20873750677827682	-0.4823707424898952	-0.245523552921847	-0.16363611702133626	-0.15855123174281313	-0.4614409094686903	-0.037404629410901884	0.043977729980304754	-0.1724641666194689	-0.14421283555569617	-0.01927341643290372	0.05537047023197399	-0.14137437431021738	-0.47306819416563817	0.14793376777609088	-0.45950519224088293	-0.06660866341767754	0.5195887284215507	-0.38100986185944086	-0.02789902756198351	-0.5215323912999447	-0.1058563895280283	0.0027640097171117268	0.026565113415398717	0.061416755922184055	-0.5171098427577486	-0.18357662434705138	-0.11343168376710798	-0.24842981562217764	-0.47458378432924503	-0.35808914058209157	0.0030087342618061058	-0.2726245134550114	-0.5282998948722278	-0.22006185773361664	-0.40651840802799905	-0.37508157370915307
rs6680011	-0.21575875228800062	0.08304350632164612	0.08806814162722061	-0.05071061839371396	-0.059585149925422895	0.1594043651663331	0.0796535796880726	0.07663027551385976	0.005991123582652174	0.07774919677685281	0.11145560010904323	-0.12936966997425328	0.10987206943660145	0.19245392509424933	0.12286702660570399	0.08927250274948917	0.05390792093213024	-0.022241150296443357	-0.027942352038753115	0.09619596080396117	0.005485071158372373	0.12807362445633977	-0.01215655011381499	-0.08408148403118648	0.07979008266609432	-0.045218872061386396	0.09376426794493423	0.07117337901028653	0.06588695624158827	0.09496154344614217	-0.18463646737974998	-0.004567317317163558	0.04992415368518269	0.0791415071725176	0.113323558510146	0.11850634089571822	-0.008361637232325381	-0.05002399323558472	-0.016121285069105807	-0.039564474901071435	-0.014021682973244003	-0.03934125823385085	-0.026008326533433077	0.03943601166991719	0.15915147671052765	0.05600828150464081	0.044452168085897095	0.12017829482793452	0.10713853875773413	0.03331406321022311	0.11581044741400083	-0.11903905973018714	0.03634649980851703	-0.01934237016536849	-0.053463990607931215	0.10446651763282055	0.11379771482788367	0.043691907598258826	0.11060984628231414	0.060828870109721773	0.07707813441830193	-0.08875061692463529	0.23397024951139875	0.06994815270624269	0.06109703143853199	0.036661407909264816	0.17745674034923098
rs11165867	0.08605705560456137	0.021138662364869873	0.12453640568170157	-0.030010207673295826	0.09695924732072238	0.050494799720871855	0.011389322883459055	0.16459584855717502	0.03121236911862229	-0.14171573031519763	0.004703982608664709	0.09507242509182831	0.08176727105608779	-0.10080846187571936	0.10179183951433135	0.23141775614064852	-0.05401038810400034	-0.11839514386388134	0.07370699966861313	0.14259477580581195	0.07585028384092038	0.07857431254516041	-0.030131207083349577	0.022877914140247663	-0.0730532990289604	0.15163290164313015	-0.06805933172036975	0.01489077746913704	0.06834025388179296	-0.009946996983900334	0.023322773868807493	0.08167120130876022	-0.04276573312296649	0.01685269914785457	0.014479973821793746	0.0072296582285834325	0.06093730441798664	0.028283269383040755	0.0768893299849729	0.04893467918549558	-0.02159766151617141	0.05341701167261469	-0.02510103264464858	0.14521298590460588	-0.020703410118346876	0.05507541140878898	0.11945407444573594	-0.15928470934732072	0.03672887327462317	-0.07927250771602681	0.0018641219751861454	-0.013488594132968395	-0.03818853280196935	0.032699174793284595	-0.047705885659477566	0.057434661119441614	0.11014849107566332	0.06426952748541144	0.007946274042184795	0.04950650851720275	0.04667986264544826	-0.11633008383610417	-0.022963380894762627	0.1289057548601998	-0.03762074966788325	0.022656219852250203	-0.021580179482087024
rs2660304	0.0335547369463484	0.07280970825662751	-0.04458699808648675	-0.026004020618480027	-0.07031239603093631	0.10255538826340913	-0.09578685521277787	0.06308935171185973	-0.009885631809834459	-0.01169064787799815	-0.016080331441967195	0.1772375715805154	0.0016685409508174801	-0.1301392913625422	-0.07018326007094286	-0.02396262437719179	0.1273320591006846	0.017828192913852896	0.2207013367016673	0.12156908317728209	0.13283407090165866	0.036125251443132174	0.04214453353189908	-0.09883175727677085	-0.044929224969563426	0.0954268417015981	-0.10187126371214644	0.22256069643185153	0.10479930478835872	0.0168523486005629	-0.0015758092961682174	-0.02330343111047359	0.06278976805481568	0.04302902554403127	0.05165777284972349	0.03925573903515006	0.09688771760696495	0.12134688377782915	0.18920059162706152	0.2314430693442503	-0.08933731859943086	-0.12027386800756827	-0.00021840822308931315	0.031247069437134012	-0.1501366257503069	-0.09866715209757985	-0.07569329616881516	-0.12430090734425732	0.1190873969443595	-0.037005415628011996	0.04133897479929155	-0.012142293845874329	-0.09404696180720068	-0.11507666751901079	-0.0629554739870405	-0.025648620788722487	0.18053234573419466	0.12030158695191497	-0.030240733764687142	-0.00012385266352886776	0.08158119597585431	-0.0827687022279345	0.030376276707728998	-0.047905035698636175	0.07940517506618584	0.07230932007476108	0.15501952507875777
